Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
2009,1,11,Miscellaneous,HISSAR,9999,KHARIF,,HARYANA,INFORMATION REGARDING THE SUBCIDY ON IRRIGATION PUMP,I TOLD THE KISAN TO CONTECT ADO AGCONCERED BLOCK,29.8573,76.4545
2009,1,12,Miscellaneous,HISSAR,9999,KHARIF,,HARYANA,INFOMATION REGARDING OF WEATHER,TO DAY IS NO CHANCE OF RAIN,29.8573,76.4545
2009,1,12,Miscellaneous,HISSAR,9999,KHARIF,,HARYANA,INFORMATION REGARDING SOWING TIME OF SUN FLOWER CROP ,THE SOWING TIME 15 JAN-15 FEB,29.8573,76.4545
2009,1,12,Miscellaneous,HISSAR,9999,KHARIF,,HARYANA,INFORMATION REGARDING OF WEATHER,TO DAY IS NO CHANCE OF RAIN,29.8573,76.4545
2009,1,12,Miscellaneous,HISSAR,9999,KHARIF,,HARYANA,PROBLEM OF WOUND WORM ,Escalation Level 2,29.8573,76.4545
2009,1,12,Miscellaneous,HISSAR,9999,KHARIF,,HARYANA,INFORMATION REGARDING THE SUBCIDY ON ROTAVATER,I TOLD THE KISAN THE SUBCIDY ON ROTAVATER IS 25PLEASE CONTECT ADO CONCERD BLOCK,29.8573,76.4545
2009,1,12,Miscellaneous,HISSAR,9999,KHARIF,,HARYANA,INFORMATION REGARDING SOWING TIME OF SUN FLOWER CROP ,THE SOWING TIME 15 JAN-15 FEB,29.8573,76.4545
2009,1,13,Miscellaneous,HISSAR,9999,KHARIF,,HARYANA,INFORMATION REGARDING OF WEATHER ,TO DAY IS NO CHANCE OF RAIN,29.8573,76.4545
2009,1,14,Miscellaneous,HISSAR,9999,KHARIF,,HARYANA,INFORMATION REGARDING THE SUBCIDY ON ROTAVATER,I TOLD THE KISAN THE SUBCIDY ON ROTAVATER IS 25PLEASE CONTECT ADO AGCONCERED BLOCK,29.8573,76.4545
2009,1,14,Miscellaneous,HISSAR,9999,KHARIF,,HARYANA,INFORMATION REGARDING SOWING TIME OF ORKA CROP ,THE SOWING TIME OF ORKA  FEB-MARCH,29.8573,76.4545
2009,1,14,Miscellaneous,HISSAR,9999,KHARIF,,HARYANA,INFORMATION REGARDING OF WEATHER,TO DAY IS NO CHANCE OF RAIN,29.8573,76.4545
2009,1,15,Miscellaneous,HISSAR,9999,KHARIF,,HARYANA,PROBLEM OF LOW MILK ,Escalation Level 2,29.8573,76.4545
